2018-12-11 15:15:57,357 |  BramHope Website Portal |INFO | browser gets open
2018-12-14 12:59:53,491 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 12:59:53,499 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 12:59:54,085 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 12:59:54,180 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 12:59:54,192 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 12:59:54,330 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 12:59:54,340 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 12:59:54,417 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:00:07,827 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:00:09,878 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:03:20,615 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 13:03:20,734 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:03:20,743 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:03:20,884 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:03:20,892 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:03:21,669 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 13:03:21,756 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:03:21,764 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:03:21,879 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:03:21,886 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:03:21,969 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:03:24,926 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:03:45,826 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:04:44,564 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 13:04:44,718 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:04:44,731 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:04:44,897 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:04:44,905 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:04:45,371 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 13:04:45,460 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:04:45,469 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:04:45,596 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:04:45,606 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:04:45,677 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:05:00,205 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:05:02,964 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:07:02,779 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 13:07:02,946 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:07:02,961 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:07:03,159 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:07:03,171 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:07:03,966 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 13:07:04,078 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:07:04,088 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:07:04,297 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:07:04,327 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:07:04,446 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:07:18,854 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:07:21,810 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:07:59,777 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 13:07:59,899 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:07:59,910 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:08:00,051 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:08:00,062 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:08:00,600 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 13:08:00,683 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:08:00,693 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:08:00,813 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:08:00,825 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:08:00,907 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:08:15,424 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:08:17,994 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:12:16,337 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 13:12:16,441 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:12:16,450 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:12:16,582 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:12:16,597 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:12:16,990 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 13:12:17,070 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:12:17,079 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:12:17,185 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:12:17,195 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:12:17,264 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:12:19,716 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:12:29,386 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:12:53,548 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 13:12:53,704 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:12:53,717 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:12:53,897 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:12:53,908 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:12:54,439 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 13:12:54,531 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:12:54,536 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:12:54,669 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:12:54,676 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:12:54,752 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:12:58,145 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:13:08,369 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:14:42,146 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 13:14:42,401 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:14:42,412 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:14:42,574 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:14:42,583 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:14:43,195 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 13:14:43,290 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:14:43,301 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:14:43,434 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:14:43,443 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:14:43,518 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:14:57,479 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:15:00,728 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:21:19,444 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 13:21:19,566 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:21:19,576 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:21:19,711 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:21:19,721 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:21:20,154 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 13:21:20,246 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:21:20,256 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:21:20,374 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:21:20,382 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:21:20,456 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:21:33,717 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:21:35,763 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:21:52,517 |  Habitos - CRM Info |INFO | User can enter the name in name field
2018-12-14 13:21:52,580 |  Habitos - CRM Info |ERROR | User can't enter the name
2018-12-14 13:21:53,113 |  Habitos - CRM Info |INFO | User can able to select the category
2018-12-14 13:21:53,480 |  Habitos - CRM Info |INFO | User can enter the email in email field
2018-12-14 13:21:53,673 |  Habitos - CRM Info |INFO | User can enter the address in address field
2018-12-14 13:21:54,087 |  Habitos - CRM Info |INFO | User can able to select the facilities
2018-12-14 13:21:54,253 |  Habitos - CRM Info |INFO | user can enter the lat value
2018-12-14 13:21:54,457 |  Habitos - CRM Info |INFO | user can enter the longtitue values
2018-12-14 13:21:54,745 |  Habitos - CRM Info |INFO | user can able to select the from date
2018-12-14 13:21:54,886 |  Habitos - CRM Info |INFO | Verify that user can able to click the to date
2018-12-14 13:21:55,201 |  Habitos - CRM Info |INFO | Verify that if user can enter the contact person name
2018-12-14 13:21:55,393 |  Habitos - CRM Info |INFO | Verify that user can enter the mobile number in mobile field
2018-12-14 13:23:02,600 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 13:23:02,731 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:23:02,743 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:23:02,917 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:23:02,927 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:23:03,344 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 13:23:03,431 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 13:23:03,439 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 13:23:03,551 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 13:23:03,559 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 13:23:03,636 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 13:23:16,379 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 13:23:18,715 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 13:23:18,875 |  Habitos - CRM Info |INFO | User can enter the name in name field
2018-12-14 13:23:19,374 |  Habitos - CRM Info |INFO | User can able to select the category
2018-12-14 13:23:19,749 |  Habitos - CRM Info |INFO | User can enter the email in email field
2018-12-14 13:23:19,950 |  Habitos - CRM Info |INFO | User can enter the address in address field
2018-12-14 13:23:20,369 |  Habitos - CRM Info |INFO | User can able to select the facilities
2018-12-14 13:23:20,530 |  Habitos - CRM Info |INFO | user can enter the lat value
2018-12-14 13:23:20,699 |  Habitos - CRM Info |INFO | user can enter the longtitue values
2018-12-14 13:23:21,002 |  Habitos - CRM Info |INFO | user can able to select the from date
2018-12-14 13:23:21,152 |  Habitos - CRM Info |INFO | Verify that user can able to click the to date
2018-12-14 13:23:21,469 |  Habitos - CRM Info |INFO | Verify that if user can enter the contact person name
2018-12-14 13:23:21,676 |  Habitos - CRM Info |INFO | Verify that user can enter the mobile number in mobile field
2018-12-14 14:25:23,470 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 14:25:23,709 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 14:25:23,720 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 14:25:23,895 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 14:25:23,903 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 14:25:24,453 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 14:25:24,556 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 14:25:24,565 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 14:25:24,696 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 14:25:24,702 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 14:25:24,782 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 14:25:36,276 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 14:25:43,976 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 14:25:44,153 |  Habitos - CRM Info |INFO | User can enter the name in name field
2018-12-14 14:25:44,699 |  Habitos - CRM Info |INFO | User can able to select the category
2018-12-14 14:25:45,020 |  Habitos - CRM Info |INFO | User can enter the email in email field
2018-12-14 14:25:45,248 |  Habitos - CRM Info |INFO | User can enter the address in address field
2018-12-14 14:25:45,686 |  Habitos - CRM Info |INFO | User can able to select the facilities
2018-12-14 14:25:45,863 |  Habitos - CRM Info |INFO | user can enter the lat value
2018-12-14 14:25:45,994 |  Habitos - CRM Info |INFO | user can enter the longtitue values
2018-12-14 14:25:46,287 |  Habitos - CRM Info |INFO | user can able to select the from date
2018-12-14 14:25:46,425 |  Habitos - CRM Info |INFO | Verify that user can able to click the to date
2018-12-14 14:25:46,717 |  Habitos - CRM Info |INFO | Verify that if user can enter the contact person name
2018-12-14 14:25:46,925 |  Habitos - CRM Info |INFO | Verify that user can enter the mobile number in mobile field
2018-12-14 14:25:47,070 |  Habitos - CRM Info |INFO | Verify that user can able to select the meal time
2018-12-14 14:25:47,190 |  Habitos - CRM Info |INFO | Verify that user can able to select meal type
2018-12-14 14:25:47,306 |  Habitos - CRM Info |INFO | Verify that user can able to select Student type
2018-12-14 14:25:47,412 |  Habitos - CRM Info |INFO | Verify that user can able to select spread type
2018-12-14 14:25:47,517 |  Habitos - CRM Info |INFO | Verify that user can able to enter the total count
2018-12-14 14:25:47,707 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2018-12-14 14:25:47,903 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2018-12-14 14:25:47,923 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2018-12-14 14:25:47,926 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2018-12-14 14:34:12,519 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 14:34:12,687 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 14:34:12,696 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 14:34:12,840 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 14:34:12,849 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 14:34:13,386 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 14:34:13,481 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 14:34:13,488 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 14:34:13,619 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 14:34:13,630 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 14:34:13,709 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 14:34:25,543 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 14:34:27,453 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 14:34:27,614 |  Habitos - CRM Info |INFO | User can enter the name in name field
2018-12-14 14:34:28,164 |  Habitos - CRM Info |INFO | User can able to select the category
2018-12-14 14:34:28,497 |  Habitos - CRM Info |INFO | User can enter the email in email field
2018-12-14 14:34:28,712 |  Habitos - CRM Info |INFO | User can enter the address in address field
2018-12-14 14:34:29,157 |  Habitos - CRM Info |INFO | User can able to select the facilities
2018-12-14 14:34:29,348 |  Habitos - CRM Info |INFO | user can enter the lat value
2018-12-14 14:34:29,498 |  Habitos - CRM Info |INFO | user can enter the longtitue values
2018-12-14 14:34:29,813 |  Habitos - CRM Info |INFO | user can able to select the from date
2018-12-14 14:34:29,973 |  Habitos - CRM Info |INFO | Verify that user can able to click the to date
2018-12-14 14:34:30,296 |  Habitos - CRM Info |INFO | Verify that if user can enter the contact person name
2018-12-14 14:34:30,482 |  Habitos - CRM Info |INFO | Verify that user can enter the mobile number in mobile field
2018-12-14 14:34:30,597 |  Habitos - CRM Info |INFO | Verify that user can able to select the meal time
2018-12-14 14:34:30,714 |  Habitos - CRM Info |INFO | Verify that user can able to select meal type
2018-12-14 14:34:30,828 |  Habitos - CRM Info |INFO | Verify that user can able to select Student type
2018-12-14 14:34:30,950 |  Habitos - CRM Info |INFO | Verify that user can able to select spread type
2018-12-14 14:34:31,040 |  Habitos - CRM Info |INFO | Verify that user can able to enter the total count
2018-12-14 14:34:31,227 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2018-12-14 14:34:31,438 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2018-12-14 14:34:31,645 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2018-12-14 14:34:31,747 |  Habitos - CRM Info |INFO | Verify that user can able to select the order type
2018-12-14 14:46:41,517 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 14:46:41,666 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 14:46:41,676 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 14:46:41,810 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 14:46:41,818 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 14:46:42,294 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 14:46:42,380 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 14:46:42,386 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 14:46:42,496 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 14:46:42,502 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 14:46:42,569 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 14:46:57,325 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 14:46:59,889 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 14:47:00,060 |  Habitos - CRM Info |INFO | User can enter the name in name field
2018-12-14 14:47:00,596 |  Habitos - CRM Info |INFO | User can able to select the category
2018-12-14 14:47:00,961 |  Habitos - CRM Info |INFO | User can enter the email in email field
2018-12-14 14:47:01,216 |  Habitos - CRM Info |INFO | User can enter the address in address field
2018-12-14 14:47:01,651 |  Habitos - CRM Info |INFO | User can able to select the facilities
2018-12-14 14:47:01,837 |  Habitos - CRM Info |INFO | user can enter the lat value
2018-12-14 14:47:01,980 |  Habitos - CRM Info |INFO | user can enter the longtitue values
2018-12-14 14:47:02,297 |  Habitos - CRM Info |INFO | user can able to select the from date
2018-12-14 14:47:02,451 |  Habitos - CRM Info |INFO | Verify that user can able to click the to date
2018-12-14 14:47:02,764 |  Habitos - CRM Info |INFO | Verify that if user can enter the contact person name
2018-12-14 14:47:02,949 |  Habitos - CRM Info |INFO | Verify that user can enter the mobile number in mobile field
2018-12-14 14:47:03,066 |  Habitos - CRM Info |INFO | Verify that user can able to select the meal time
2018-12-14 14:47:03,189 |  Habitos - CRM Info |INFO | Verify that user can able to select meal type
2018-12-14 14:47:03,308 |  Habitos - CRM Info |INFO | Verify that user can able to select Student type
2018-12-14 14:47:03,426 |  Habitos - CRM Info |INFO | Verify that user can able to select spread type
2018-12-14 14:47:03,509 |  Habitos - CRM Info |INFO | Verify that user can able to enter the total count
2018-12-14 14:47:03,693 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2018-12-14 14:47:03,929 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2018-12-14 14:47:04,106 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2018-12-14 14:47:04,222 |  Habitos - CRM Info |INFO | Verify that user can able to select the order type
2018-12-14 14:51:19,359 |  Habitos - ERP |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2018-12-14 14:51:19,481 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 14:51:19,490 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 14:51:19,663 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 14:51:19,674 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 14:51:20,154 |  Habitos - ERP |INFO | Verify that if the user can't able to login with correct un & incorrect password
2018-12-14 14:51:20,270 |  Habitos - ERP |INFO | Verify that if the User Name field is present 
2018-12-14 14:51:20,280 |  Habitos - ERP |INFO | Verify that if the username fields get autofocus
2018-12-14 14:51:20,414 |  Habitos - ERP |INFO | Verify that if the Password  field is present 
2018-12-14 14:51:20,424 |  Habitos - ERP |INFO | Verify that if the password fields get focused
2018-12-14 14:51:20,500 |  Habitos - ERP |INFO | Verify that user can able to login the valid credentials
2018-12-14 14:51:33,071 |  Habitos - CRM Info |INFO | Verify that if click info it should redirect to crm info index screen 
2018-12-14 14:51:35,029 |  Habitos - CRM Info |INFO | Verify that if click add new button it should redirect to add new screen
2018-12-14 14:51:35,205 |  Habitos - CRM Info |INFO | User can enter the name in name field
